"Provider.CCN","Hospital.Name","State.Code","City","County","Rural.Versus.Urban","Provider.Type","Type.of.Control","FTE...Employees.on.Payroll","Number.of.Beds","Total.Discharges.Title.XVIII","Total.Salaries.From.Worksheet.A","Total.Income","Total.Costs","Year","for_profit","urban","LOGFTE...Employees.on.Payroll","Total.Salaries.From.Worksheet.ALOG","Total.Income.ALOG","logDischarge","logTotalCosts","post"
341318,"CHOWAN HOSPITAL INC.","NC","EDENTON","CHOWAN","R",1,"Non-profit",274.9,25,653,15634581,10148939,41239324,2015,0,1,5.6164073951712,16.5649957496662,16.1328797259685,6.48157712927643,17.5349028251261,0
511303,"MINNIE HAMILTON HEALTH CARE CENTER","WV","GRANTSVILLE","CALHOUN","R",1,"Non-profit",190.72,25,137,12101390,536484,18223311,2015,0,1,5.25080638387699,16.3088308800023,13.1927920176818,4.91998092582813,16.7182121566673,0
341325,"ASHE MEMORIAL HOSPITAL","NC","JEFFERSON","ASHE","R",1,"Non-profit",193.53,25,679,11837820,623097,21594654,2015,0,1,5.26543253921226,16.286810048846,13.3424574838842,6.5206211275587,16.8879563420212,0
104073,"EMERALD COAST BEHAVIORAL HOSPITAL","FL","PANAMA CITY","BAY","U",4,"For-profit",157.8,86,424,7311330,3316962,10141323,2015,1,0,5.06132840841177,15.8049357577209,15.0145598617285,6.04973345523196,16.1321290209892,0
232020,"MCLAREN BAY SPECIAL CARE","MI","BAY CITY","BAY","U",2,"Non-profit",68.57,31,250,3788518,-159523,7776928,2015,0,0,4.22785512129627,15.1474854715631,NA,5.52146091786225,15.8666719595656,0
34004,"BANNER BEHAVIORAL HEALTH HOSPITAL","AZ","SCOTTSDALE","MARICOPA","U",4,"Non-profit",283.91,96,184,16343908,-5152990,25998747,2015,0,0,5.64865728652889,16.6093657864868,NA,5.21493575760899,17.0735589025168,0
281310,"REGIONAL WEST GARDEN COUNTY HOSPITAL","NE","OSHKOSH","GARDEN","R",1,"Non-profit",50.96,10,27,4172405,153161,8383523,2015,0,1,3.93104101126391,15.2440031661343,11.9392449346898,3.29583686600433,15.9417787898405,0
362023,"MAHONING VALLEY HOSPITAL","OH","BOARDMAN","MAHONING","U",2,"For-profit",109.81,42,221,5693480,3166694,16272779,2015,1,0,4.69875159960962,15.5548322184489,14.9681986994444,5.39816270151775,16.6050042697726,0
154061,"RIVERCREST SPECIALTY HOSPITAL  LLC","IN","MISHAWAKA","ST. JOSEPH","U",4,"For-profit",64.51,30,334,3059523,315963,7662795,2015,1,0,4.16682025054415,14.9337695794247,12.663380397106,5.8111409929767,15.8518873576699,0
154063,"NEUROPSYCHIATRIC HOSPITAL OF INDIANA","IN","INDIANAPOLIS","MARION","R",4,"For-profit",62.24,35,98,955986,93582,2285613,2015,1,1,4.13099787987014,13.7704985475748,11.4465933362799,4.58496747867057,14.6421448176669,0
154057,"OPTIONS BEHAVIORAL HEALTH SYSTEM","IN","INDIANAPOLIS","MARION","U",4,"For-profit",141.5,40,383,6116908,1035819,7635628,2015,1,0,4.95229971708329,15.6265672980593,13.8507029761132,5.94803498918065,15.8483357460355,0
